day,newcastle-coronaV96-00,newcastle-coronaV96-01
0,0.0,0.0
1,0.0,0.0
2,0.5,0.5
3,0.5,0.5
4,0.5,0.5
5,1.0,1.0
6,1.0,1.0
7,1.0,1.0
8,1.5,1.5
9,1.75,1.75
10,2.25,2.25
11,3.0,3.0
12,3.5,3.5
13,4.0,4.0
14,5.0,5.0
15,5.5,5.5
16,6.25,6.25
17,7.25,7.25
18,8.0,8.0
19,9.5,9.5
20,10.5,10.5
21,11.5,11.5
22,12.25,12.25
23,13.25,13.25
24,13.75,13.75
25,15.0,15.0
26,16.75,16.75
27,18.0,18.0
28,19.5,19.5
29,20.75,20.75
30,22.5,22.5
31,23.5,23.5
32,24.5,24.5
33,25.25,25.25
34,26.75,26.75
35,27.25,27.25
36,29.0,29.0
37,30.5,30.5
38,32.0,32.0
39,33.0,33.0
40,33.75,33.75
41,34.5,34.5
42,36.5,36.5
43,38.0,38.0
44,38.75,38.75
45,40.0,40.0
46,41.25,41.25
47,42.5,42.5
48,44.0,44.0
49,45.0,45.0
50,46.0,46.0
51,46.75,46.75
52,48.0,48.0
53,49.0,49.0
54,50.0,50.0
55,51.5,51.5
56,52.0,52.0
57,53.5,53.5
58,54.5,54.5
59,55.0,55.0
60,57.0,57.0
61,58.75,58.75
62,60.75,60.75
63,61.5,61.5
64,62.25,62.25
65,64.75,64.75
66,65.25,65.25
67,66.5,66.5
68,68.25,68.25
69,70.0,70.0
70,71.25,71.25
71,72.5,72.5
72,73.0,73.0
73,74.25,74.25
74,76.0,76.0
75,76.25,76.25
76,78.5,78.5
77,79.5,79.5
78,81.0,81.0
79,82.5,82.5
80,84.0,84.0
81,86.0,86.0
82,87.75,87.75
83,89.25,89.25
84,92.25,92.25
85,93.75,93.75
86,95.5,95.5
87,96.0,96.0
88,97.25,97.25
89,99.25,99.25
90,101.25,101.25
91,103.25,103.25
92,105.5,107.5
93,107.75,109.5
94,109.0,110.25
95,109.5,113.25
96,111.5,115.5
97,113.5,117.75
98,115.0,120.75
99,116.25,123.0
100,117.5,126.25
101,118.5,127.25
102,119.75,129.25
103,121.5,131.0
104,122.75,132.0
105,124.75,134.5
106,126.25,137.25
107,127.0,139.25
108,129.0,140.25
109,130.0,141.5
110,130.25,142.0
111,130.5,143.5
112,132.75,145.75
113,135.25,148.0
114,137.25,149.5
115,138.25,149.75
116,140.25,150.25
117,141.0,152.0
118,143.0,154.25
119,144.75,155.75
120,146.5,157.25
121,147.75,158.0
122,150.0,159.25
123,151.5,160.0
124,153.0,162.25
125,154.75,164.25
126,156.0,166.0
127,158.75,168.25
128,160.25,169.5
129,161.25,170.5
130,163.75,172.0
131,164.25,173.5
132,165.25,174.5
133,166.75,177.5
134,168.25,179.75
135,170.25,181.0
136,171.75,182.25
137,173.0,183.75
138,173.25,185.25
139,174.25,186.25
140,175.5,189.25
141,177.0,191.25
142,179.25,194.25
143,180.5,196.25
144,182.25,197.5
145,185.25,199.5
146,187.25,202.0
147,189.5,203.25
148,191.5,205.75
149,196.25,207.75
150,198.75,211.5
151,200.5,213.25
152,203.5,216.0
153,205.5,218.75
154,209.0,221.75
155,212.0,223.25
156,214.0,225.5
157,216.0,228.75
158,218.0,230.25
159,220.5,231.0
160,223.0,233.25
161,226.0,236.5
162,229.0,239.5
163,231.0,244.0
164,232.75,247.5
165,234.0,251.0
166,234.5,255.75
167,237.5,259.0
168,239.0,263.0
169,240.75,268.0
170,243.0,272.5
171,245.5,276.25
172,248.25,279.0
173,249.5,284.0
174,252.25,288.0
175,253.75,290.75
176,256.0,294.5
177,257.75,298.25
178,259.5,301.5
179,261.0,303.25
180,263.0,306.75
181,266.0,309.0
182,267.75,311.5
183,269.75,314.75
184,271.0,318.0
185,272.25,320.75
186,275.25,323.25
187,276.25,325.0
188,278.75,328.75
189,281.75,330.75
190,286.5,332.25
191,289.5,335.25
192,292.5,336.5
193,294.25,338.0
194,296.0,340.0
195,299.0,341.75
196,300.5,343.5
197,303.0,345.5
198,306.25,347.0
199,308.25,350.5
200,310.5,353.5
201,312.5,354.0
202,314.0,354.75
203,315.25,356.0
204,317.5,358.25
205,320.25,359.25
206,321.5,361.25
207,323.5,362.25
208,324.0,363.5
209,325.75,365.5
210,327.75,368.0
211,329.75,370.25
212,330.25,372.0
213,333.0,374.25
214,336.0,375.5
215,337.0,376.75
216,338.5,379.25
217,341.25,381.75
218,343.5,383.5
219,345.0,385.25
220,347.25,386.5
221,349.0,388.0
222,350.75,390.25
223,353.0,391.5
224,354.0,392.75
225,356.75,394.5
226,359.5,396.0
227,363.25,398.25
228,365.5,400.5
229,367.25,402.5
230,368.5,405.0
231,369.75,405.75
232,371.5,406.75
233,373.75,410.25
234,376.25,412.0
235,379.0,415.0
236,381.25,417.5
237,381.5,419.5
238,383.25,422.0
239,385.5,425.5
240,388.25,430.0
241,391.5,433.5
242,392.75,436.0
243,394.5,438.0
244,397.25,439.25
245,399.5,441.25
246,401.5,447.0
247,404.5,453.5
248,406.75,457.0
249,410.0,460.5
250,412.25,463.5
251,414.25,467.25
252,417.75,470.5
253,420.25,476.75
254,422.25,481.25
255,425.5,485.75
256,429.25,490.75
257,431.0,492.75
258,433.75,494.25
259,436.5,495.0
260,441.25,496.5
261,444.25,497.75
262,446.25,498.5
263,447.25,498.75
264,448.75,499.75
265,450.25,500.25
266,452.5,502.75
267,454.0,505.25
268,455.75,507.5
269,457.25,509.25
270,459.0,512.0
271,460.75,513.0
272,463.0,517.0
273,463.75,520.0
274,464.75,524.75
275,465.25,528.5
276,467.25,533.5
277,468.5,537.75
278,471.0,541.25
279,473.75,545.25
280,475.25,548.0
281,476.25,551.5
282,477.75,556.25
283,479.0,558.0
284,480.75,560.0
285,483.5,563.25
286,485.75,564.5
287,488.75,565.5
288,490.75,568.25
289,493.5,571.0
290,494.75,574.25
291,495.5,576.0
292,498.0,578.75
293,501.25,580.75
294,504.25,583.75
295,505.5,586.25
296,506.25,590.0
297,508.0,592.5
298,510.0,595.0
299,512.75,597.0
300,515.75,599.5
301,519.5,604.25
302,521.5,606.25
303,523.0,608.75
304,524.25,610.0
305,525.5,612.75
306,527.5,614.5
307,529.75,617.25
308,533.25,619.0
309,535.5,620.75
310,537.25,623.75
311,538.75,625.0
312,541.0,627.0
313,544.5,628.25
314,547.5,631.25
315,548.75,633.25
316,551.0,635.5
317,553.5,637.5
318,554.75,639.5
319,556.25,641.25
320,558.75,644.5
321,561.0,646.5
322,564.5,648.5
323,566.5,650.0
324,568.25,652.0
325,572.0,653.75
326,574.0,656.5
327,576.0,657.75
328,582.5,659.0
329,585.75,660.75
330,588.5,662.75
331,592.25,664.0
332,594.75,666.25
333,597.25,667.25
334,600.25,669.25
335,603.25,671.0
336,606.75,672.25
337,610.5,673.75
338,612.5,676.0
339,618.5,678.5
340,621.5,679.5
341,623.5,682.25
342,626.0,683.5
343,627.0,685.25
344,629.5,687.25
345,631.75,690.0
346,634.5,691.25
347,637.0,693.25
348,639.75,695.5
349,642.0,696.75
350,644.75,697.5
351,648.0,699.0
352,649.0,699.75
353,651.0,701.25
354,654.0,704.25
355,657.25,706.0
356,659.25,707.5
357,663.25,709.0
358,665.75,710.75
359,667.75,715.25
