day,newcastle-coronaV96-00,newcastle-coronaV96-01
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.5,0.5
9,0.5,0.5
10,0.25,0.25
11,0.5,0.5
12,0.5,0.5
13,0.5,0.5
14,0.5,0.5
15,0.5,0.5
16,0.75,0.75
17,0.5,0.5
18,0.75,0.75
19,1.5,1.5
20,1.0,1.0
21,1.0,1.0
22,1.0,1.0
23,0.75,0.75
24,0.5,0.5
25,0.5,0.5
26,1.0,1.0
27,1.0,1.0
28,1.5,1.5
29,1.0,1.0
30,1.25,1.25
31,0.5,0.5
32,0.75,0.75
33,1.0,1.0
34,1.0,1.0
35,0.75,0.75
36,1.5,1.5
37,1.5,1.5
38,0.75,0.75
39,1.25,1.25
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.5,1.5
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,1.5,1.5
49,1.0,1.0
50,1.0,1.0
51,1.5,1.5
52,1.5,1.5
53,1.25,1.25
54,1.5,1.5
55,1.25,1.25
56,1.0,1.0
57,1.0,1.0
58,1.25,1.25
59,1.0,1.0
60,1.5,1.5
61,1.0,1.0
62,1.0,1.0
63,1.25,1.25
64,1.5,1.5
65,1.5,1.5
66,1.0,1.0
67,1.5,1.5
68,1.0,1.0
69,1.5,1.5
70,1.25,1.25
71,1.5,1.5
72,1.0,1.0
73,0.5,0.5
74,1.5,1.5
75,1.0,1.0
76,1.25,1.25
77,1.25,1.25
78,1.25,1.25
79,1.5,1.5
80,1.0,1.0
81,1.5,1.5
82,1.0,1.0
83,1.0,1.0
84,1.5,1.5
85,1.0,1.0
86,1.5,1.5
87,1.5,1.5
88,1.25,1.25
89,1.0,1.0
90,1.0,1.0
91,1.5,1.5
92,1.5,3.5
93,1.25,1.5
94,1.0,1.0
95,1.5,1.5
96,1.5,1.5
97,1.0,2.0
98,1.5,2.5
99,1.0,2.5
100,1.25,2.0
101,1.5,1.5
102,1.5,1.0
103,1.5,1.5
104,1.25,1.75
105,1.5,2.25
106,1.25,3.0
107,1.5,2.0
108,1.5,1.5
109,1.25,1.5
110,1.5,2.0
111,1.0,1.25
112,1.25,2.25
113,1.5,2.0
114,1.5,2.25
115,1.25,2.0
116,1.5,1.5
117,1.25,2.0
118,1.0,1.75
119,1.75,1.5
120,1.75,2.0
121,1.5,2.0
122,1.5,1.5
123,1.0,1.5
124,1.5,1.75
125,1.25,2.0
126,1.5,1.5
127,1.5,2.25
128,1.5,2.0
129,1.25,1.5
130,1.5,2.0
131,1.75,1.5
132,1.5,1.5
133,1.5,1.5
134,1.5,2.0
135,1.5,1.0
136,1.5,2.0
137,1.5,1.75
138,1.75,2.25
139,2.0,2.0
140,1.75,2.0
141,2.0,1.75
142,1.5,1.75
143,1.25,1.5
144,1.0,1.75
145,2.0,1.75
146,1.5,1.75
147,1.75,1.5
148,1.5,2.0
149,2.0,1.75
150,2.0,1.5
151,1.75,1.25
152,1.5,2.25
153,1.5,1.5
154,2.5,2.0
155,2.0,1.75
156,2.0,2.0
157,1.5,1.75
158,1.25,2.0
159,2.0,1.5
160,1.75,1.5
161,1.75,2.0
162,2.25,1.75
163,1.75,2.5
164,1.5,2.5
165,2.0,1.75
166,2.0,2.5
167,1.5,2.0
168,2.0,1.75
169,1.5,2.5
170,1.5,2.5
171,2.5,2.5
172,2.0,2.25
173,2.5,2.5
174,2.0,2.25
175,1.75,2.25
176,2.75,2.0
177,2.0,2.25
178,2.0,2.75
179,2.0,2.25
180,2.25,1.75
181,2.25,2.0
182,1.5,2.25
183,2.0,3.0
184,2.5,2.5
185,1.5,2.0
186,2.0,2.5
187,1.75,2.25
188,2.0,2.5
189,2.0,2.25
190,2.0,2.0
191,2.0,2.25
192,2.25,2.0
193,2.0,2.5
194,2.0,3.0
195,2.0,2.5
196,1.5,2.5
197,2.0,2.0
198,2.5,1.75
199,1.5,2.0
200,2.5,1.75
201,2.0,2.25
202,2.0,2.5
203,2.0,2.0
204,2.0,2.25
205,2.0,2.0
206,2.0,2.75
207,2.25,2.0
208,1.5,2.0
209,2.0,2.0
210,2.5,2.25
211,2.0,2.25
212,2.25,2.25
213,1.75,2.0
214,2.25,2.0
215,1.25,2.0
216,2.0,2.0
217,2.0,2.75
218,1.75,2.25
219,1.75,2.25
220,2.75,2.0
221,2.0,2.0
222,1.5,2.0
223,2.0,2.0
224,1.5,2.25
225,2.0,2.25
226,2.0,2.5
227,1.5,2.5
228,2.0,2.5
229,1.5,2.0
230,2.0,1.5
231,1.5,3.0
232,2.0,2.0
233,1.5,2.75
234,1.5,2.25
235,2.0,2.0
236,2.0,2.75
237,1.75,1.75
238,1.5,1.75
239,1.5,3.0
240,2.0,3.0
241,2.0,2.0
242,2.0,2.0
243,1.5,2.25
244,2.0,2.0
245,1.75,2.75
246,1.5,2.5
247,2.25,2.5
248,1.75,2.0
249,2.0,2.25
250,2.0,2.0
251,2.0,2.5
252,2.0,2.0
253,2.0,2.75
254,2.0,2.5
255,2.25,2.25
256,2.25,2.5
257,2.0,2.5
258,2.0,2.5
259,1.75,1.75
260,1.5,2.25
261,1.5,2.0
262,2.25,2.0
263,2.0,2.25
264,2.0,2.5
265,1.5,2.25
266,2.0,2.0
267,1.5,2.5
268,1.5,2.5
269,2.0,2.5
270,2.0,2.25
271,1.75,1.75
272,2.0,2.75
273,1.75,2.0
274,1.5,1.5
275,1.5,2.5
276,1.75,2.25
277,1.5,2.5
278,2.0,2.25
279,2.0,2.5
280,1.75,2.75
281,1.5,2.0
282,2.0,3.0
283,1.5,2.25
284,1.5,2.5
285,2.0,2.25
286,1.5,2.0
287,2.0,2.5
288,2.0,2.5
289,2.0,2.0
290,2.25,2.25
291,1.5,3.0
292,1.5,2.0
293,2.0,2.5
294,1.5,3.0
295,1.5,1.75
296,1.5,2.5
297,2.0,3.0
298,1.5,2.5
299,2.0,2.0
300,2.0,1.5
301,2.0,2.5
302,1.5,2.0
303,2.0,2.5
304,2.0,2.0
305,1.5,2.25
306,1.5,2.0
307,2.0,2.5
308,2.5,2.5
309,2.0,2.0
310,1.75,2.0
311,2.0,2.0
312,2.0,2.5
313,2.0,2.0
314,1.5,2.75
315,1.5,2.5
316,2.0,2.0
317,2.0,2.5
318,2.0,2.0
319,1.5,2.0
320,2.25,2.25
321,2.0,1.5
322,2.0,2.0
323,2.25,2.0
324,1.5,2.0
325,2.0,2.0
326,2.0,2.5
327,1.5,2.0
328,2.0,2.25
329,1.75,1.5
330,1.75,2.5
331,2.0,2.0
332,1.5,2.5
333,1.75,2.0
334,2.0,2.25
335,1.5,2.0
336,2.0,2.0
337,1.5,2.5
338,2.0,2.0
339,2.0,2.25
340,1.25,2.0
341,2.0,2.0
342,2.0,1.75
343,2.5,2.0
344,2.0,1.5
345,2.0,2.0
346,2.0,2.5
347,1.75,2.0
348,2.0,2.25
349,2.0,2.25
350,2.25,1.5
351,1.75,2.25
352,1.5,1.75
353,1.75,2.0
354,1.5,3.0
355,1.75,2.25
356,1.25,1.75
357,2.0,1.5
358,1.5,1.75
359,1.75,1.5
