day,newcastle-coronaV96-00,newcastle-coronaV96-01
0,0.14583333333333334,0.14583333333333334
1,0.08333333333333333,0.08333333333333333
2,0.14583333333333334,0.14583333333333334
3,0.10416666666666667,0.10416666666666667
4,0.14583333333333334,0.14583333333333334
5,0.20833333333333334,0.20833333333333334
6,0.2708333333333333,0.2708333333333333
7,0.375,0.375
8,0.375,0.375
9,0.4583333333333333,0.4583333333333333
10,0.4791666666666667,0.4791666666666667
11,0.6666666666666666,0.6666666666666666
12,0.8125,0.8125
13,0.9583333333333334,0.9583333333333334
14,0.8333333333333334,0.8333333333333334
15,0.4166666666666667,0.4166666666666667
16,0.9583333333333334,0.9583333333333334
17,0.7916666666666666,0.7916666666666666
18,1.0625,1.0625
19,1.4166666666666667,1.4166666666666667
20,1.1041666666666667,1.1041666666666667
21,1.125,1.125
22,1.0,1.0
23,1.0833333333333333,1.0833333333333333
24,0.8125,0.8125
25,1.2291666666666667,1.2291666666666667
26,1.375,1.375
27,1.2083333333333333,1.2083333333333333
28,1.3958333333333333,1.3958333333333333
29,1.3125,1.3125
30,1.3125,1.3125
31,0.9791666666666666,0.9791666666666666
32,1.0625,1.0625
33,1.3541666666666667,1.3541666666666667
34,1.2708333333333333,1.2708333333333333
35,1.2083333333333333,1.2083333333333333
36,1.3541666666666667,1.3541666666666667
37,1.5625,1.5625
38,1.2083333333333333,1.2083333333333333
39,1.3958333333333333,1.3958333333333333
40,1.25,1.25
41,1.1458333333333333,1.1458333333333333
42,1.2083333333333333,1.2083333333333333
43,1.3958333333333333,1.3958333333333333
44,1.2708333333333333,1.2708333333333333
45,1.1875,1.1875
46,1.5,1.5
47,1.1875,1.1875
48,1.4791666666666667,1.4791666666666667
49,1.0625,1.0625
50,1.0833333333333333,1.0833333333333333
51,1.5208333333333333,1.5208333333333333
52,1.5833333333333333,1.5833333333333333
53,1.5208333333333333,1.5208333333333333
54,1.5416666666666667,1.5416666666666667
55,1.5416666666666667,1.5416666666666667
56,1.1666666666666667,1.1666666666666667
57,1.25,1.25
58,1.3333333333333333,1.3333333333333333
59,1.2916666666666667,1.2916666666666667
60,1.7291666666666667,1.7291666666666667
61,1.4583333333333333,1.4583333333333333
62,1.3541666666666667,1.3541666666666667
63,1.2916666666666667,1.2916666666666667
64,1.5833333333333333,1.5833333333333333
65,1.4583333333333333,1.4583333333333333
66,1.3125,1.3125
67,1.4583333333333333,1.4583333333333333
68,1.5208333333333333,1.5208333333333333
69,1.6458333333333333,1.6458333333333333
70,1.3958333333333333,1.3958333333333333
71,1.5625,1.5625
72,1.3125,1.3125
73,1.2291666666666667,1.2291666666666667
74,1.7083333333333333,1.7083333333333333
75,1.2708333333333333,1.2708333333333333
76,1.3541666666666667,1.3541666666666667
77,1.1666666666666667,1.1666666666666667
78,1.4583333333333333,1.4583333333333333
79,1.8958333333333333,1.8958333333333333
80,1.2916666666666667,1.2916666666666667
81,1.375,1.375
82,1.4583333333333333,1.4583333333333333
83,1.3333333333333333,1.3333333333333333
84,1.625,1.625
85,1.2916666666666667,1.2916666666666667
86,1.5416666666666667,1.5416666666666667
87,1.4791666666666667,1.4791666666666667
88,1.3541666666666667,1.3541666666666667
89,1.2291666666666667,1.2291666666666667
90,1.4375,1.4375
91,1.8541666666666667,1.8541666666666667
92,1.9791666666666667,4.4375
93,1.6041666666666667,1.6458333333333333
94,1.1666666666666667,1.1875
95,1.5833333333333333,1.5833333333333333
96,1.9166666666666667,1.8125
97,1.3125,2.0833333333333335
98,1.7916666666666667,2.9583333333333335
99,1.6875,2.4791666666666665
100,1.5416666666666667,2.4375
101,1.4583333333333333,1.7916666666666667
102,1.6875,1.5
103,1.6666666666666667,1.75
104,1.4375,2.0208333333333335
105,1.6041666666666667,2.4375
106,1.7708333333333333,2.75
107,1.6041666666666667,2.25
108,1.4583333333333333,2.0
109,1.625,1.7291666666666667
110,1.6875,1.9166666666666667
111,1.1666666666666667,1.9583333333333333
112,1.625,2.1041666666666665
113,1.8541666666666667,2.2916666666666665
114,1.9166666666666667,2.0833333333333335
115,1.5833333333333333,1.9375
116,1.625,1.8541666666666667
117,1.5,1.9583333333333333
118,1.4375,2.0
119,1.8541666666666667,2.1666666666666665
120,1.9791666666666667,2.1041666666666665
121,1.8333333333333333,2.0625
122,1.375,1.8958333333333333
123,1.5833333333333333,1.625
124,1.6666666666666667,2.1666666666666665
125,1.7291666666666667,2.1041666666666665
126,1.6458333333333333,2.0
127,1.7916666666666667,2.1666666666666665
128,1.75,2.0
129,1.5208333333333333,1.7916666666666667
130,1.6875,2.1041666666666665
131,1.8541666666666667,1.9791666666666667
132,1.5,1.9375
133,1.625,2.2708333333333335
134,1.75,2.3125
135,1.7708333333333333,1.5833333333333333
136,1.8958333333333333,2.0416666666666665
137,1.6041666666666667,2.125
138,1.9791666666666667,2.2083333333333335
139,1.8333333333333333,1.9375
140,1.6458333333333333,2.0625
141,1.7291666666666667,2.125
142,1.9583333333333333,2.0416666666666665
143,1.4166666666666667,1.9166666666666667
144,1.625,1.9375
145,2.0208333333333335,1.9166666666666667
146,1.6458333333333333,2.1458333333333335
147,1.6666666666666667,1.9791666666666667
148,1.7916666666666667,2.1458333333333335
149,2.3541666666666665,2.0416666666666665
150,2.1041666666666665,2.125
151,1.6875,1.7083333333333333
152,1.8125,2.0625
153,1.5833333333333333,1.9166666666666667
154,2.125,1.9583333333333333
155,2.0833333333333335,2.375
156,2.2291666666666665,2.0833333333333335
157,1.8125,2.2708333333333335
158,1.7916666666666667,2.0625
159,2.2708333333333335,1.8541666666666667
160,1.8541666666666667,2.2708333333333335
161,2.2916666666666665,2.1041666666666665
162,2.1875,2.2083333333333335
163,2.1458333333333335,2.6458333333333335
164,1.9583333333333333,2.4375
165,2.25,2.1666666666666665
166,2.0208333333333335,2.6458333333333335
167,2.0,1.9791666666666667
168,2.4166666666666665,2.0208333333333335
169,2.0,2.9375
170,1.9791666666666667,2.4583333333333335
171,2.625,2.5416666666666665
172,2.2291666666666665,2.25
173,2.2916666666666665,2.7291666666666665
174,2.1875,2.2083333333333335
175,2.25,2.2083333333333335
176,2.6666666666666665,2.1666666666666665
177,2.2291666666666665,3.0625
178,2.3958333333333335,2.8541666666666665
179,2.1875,2.3958333333333335
180,2.4166666666666665,2.1875
181,2.2083333333333335,2.4166666666666665
182,2.0833333333333335,2.4166666666666665
183,2.375,2.75
184,2.7291666666666665,2.5625
185,2.125,2.3958333333333335
186,2.6041666666666665,2.5208333333333335
187,2.6666666666666665,2.375
188,2.2083333333333335,2.4791666666666665
189,2.6041666666666665,2.4375
190,2.2916666666666665,2.2083333333333335
191,2.0416666666666665,2.4375
192,2.4166666666666665,2.3333333333333335
193,2.1666666666666665,2.375
194,2.0625,2.75
195,2.1666666666666665,2.5833333333333335
196,2.3333333333333335,2.5
197,2.0416666666666665,2.625
198,2.3333333333333335,2.125
199,2.2083333333333335,2.5416666666666665
200,2.25,2.2708333333333335
201,2.1875,2.625
202,2.1458333333333335,2.7291666666666665
203,1.9583333333333333,2.1458333333333335
204,2.1666666666666665,2.5416666666666665
205,2.125,2.3125
206,2.1458333333333335,2.625
207,2.5416666666666665,2.3541666666666665
208,1.7708333333333333,2.3541666666666665
209,2.2083333333333335,2.4166666666666665
210,2.2708333333333335,2.5625
211,2.1666666666666665,2.5416666666666665
212,2.1458333333333335,2.4375
213,2.1875,2.5
214,2.3958333333333335,2.5
215,1.6875,2.0625
216,1.875,2.25
217,1.9791666666666667,2.8333333333333335
218,2.25,2.5833333333333335
219,2.1875,2.1875
220,2.4583333333333335,2.5208333333333335
221,2.2083333333333335,2.1458333333333335
222,1.75,2.2916666666666665
223,2.375,2.3125
224,2.1666666666666665,2.1666666666666665
225,2.0208333333333335,2.9791666666666665
226,1.9791666666666667,3.0
227,1.8125,2.3541666666666665
228,2.375,2.5625
229,1.8333333333333333,2.125
230,2.1458333333333335,1.8958333333333333
231,2.0416666666666665,2.8125
232,2.0833333333333335,2.1666666666666665
233,1.8541666666666667,2.9375
234,1.7916666666666667,2.8333333333333335
235,2.3125,2.4791666666666665
236,2.3125,2.75
237,2.0416666666666665,1.9791666666666667
238,1.9375,2.3333333333333335
239,1.875,3.1666666666666665
240,2.2916666666666665,3.0833333333333335
241,2.25,2.5625
242,2.2708333333333335,2.6458333333333335
243,1.75,2.1458333333333335
244,2.2708333333333335,2.125
245,1.9166666666666667,2.9166666666666665
246,1.75,3.0833333333333335
247,2.3958333333333335,2.7291666666666665
248,2.125,2.5625
249,1.8958333333333333,2.5208333333333335
250,2.4375,2.4166666666666665
251,1.8958333333333333,2.5416666666666665
252,2.0625,2.375
253,2.125,2.9583333333333335
254,2.1041666666666665,2.7708333333333335
255,2.3125,2.6458333333333335
256,2.3958333333333335,2.8333333333333335
257,2.1875,2.5
258,2.125,2.5
259,1.9375,2.3125
260,2.1041666666666665,2.25
261,1.9791666666666667,2.7083333333333335
262,2.375,2.8541666666666665
263,2.1875,2.5208333333333335
264,2.4166666666666665,2.7916666666666665
265,1.9583333333333333,2.5416666666666665
266,2.1666666666666665,2.125
267,1.6875,2.5625
268,1.9583333333333333,2.9583333333333335
269,2.0416666666666665,2.8958333333333335
270,2.3125,3.0416666666666665
271,2.1458333333333335,2.1875
272,1.9375,2.6458333333333335
273,1.8333333333333333,2.4375
274,1.6041666666666667,2.2083333333333335
275,1.5416666666666667,3.0
276,2.2291666666666665,2.6875
277,1.9791666666666667,2.8958333333333335
278,1.7916666666666667,2.6666666666666665
279,2.0416666666666665,2.4166666666666665
280,2.0416666666666665,2.5625
281,1.8333333333333333,2.3125
282,2.3125,3.2083333333333335
283,1.6875,2.7916666666666665
284,2.0833333333333335,2.7916666666666665
285,2.125,2.625
286,1.7708333333333333,2.25
287,1.9791666666666667,2.8541666666666665
288,2.1875,2.8541666666666665
289,2.5833333333333335,2.875
